account_id,customer_id,account_no,iban,account_type,account_currency,branch_code,branch_name,branch_city,swift_bic,account_open_date,account_status,opening_balance,current_balance,credit_limit,current_debt_amount
A000001,C000001,682-4237614-53,TR20456984742269547112944363,Vadesiz,USD,TR-003,Ankara Cankaya Subesi,Ankara,YAPITRIS,2021-08-12,ACTIVE,115655,26340809,153216,200108
A000002,C000002,255-2564349-85,TR79457884123076875828719555,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,AKBKTRIS,2024-11-02,ACTIVE,645020,-224588,982625,723101
A000003,C000003,114-1964308-24,TR23787673148004748412922444,Doviz,TRY,TR-005,Bursa Nilufer Subesi,Bursa,AKBKTRIS,2020-10-31,ACTIVE,217804,578037,117640,341641
A000004,C000004,329-9675159-31,TR62274670227127648136871637,Doviz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2018-02-15,ACTIVE,175668,2930296,124501,216017
A000005,C000005,852-5387836-39,TR39094971672205690442653016,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,AKBKTRIS,2023-08-03,ACTIVE,256080,5832496,316685,129951
A000006,C000006,189-3653360-31,TR72441756122880149662166102,Vadesiz,USD,TR-005,Bursa Nilufer Subesi,Bursa,TVBATR2A,2020-02-04,ACTIVE,168529,45563159,359110,269756
A000007,C000007,819-7704216-25,TR89674940715723896016214742,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TGBATRIS,2024-03-13,ACTIVE,163942,4598504,194119,221395
A000008,C000008,683-5811621-64,TR87361988388701583075090076,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,TVBATR2A,2020-12-20,DORMANT,333918,20270464,565517,143499
A000009,C000009,528-6101836-96,TR11005748577454799417763011,Vadeli,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TVBATR2A,2019-09-03,ACTIVE,20139,63167,53976,39415
A000010,C000010,971-2533670-18,TR70427069590029352117092055,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,AKBKTRIS,2024-03-24,ACTIVE,155328,8852954,360614,146600
A000011,C000011,180-1039385-75,TR55816639617522415396645489,Doviz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TCZBTR2A,2022-04-14,ACTIVE,188229,11914002,314542,131177
A000012,C000012,880-5860743-75,TR11120068084674196248376203,Doviz,TRY,TR-006,Antalya Merkez Subesi,Antalya,FNNBTRIS,2024-09-14,ACTIVE,42968,2519717,293127,229810
A000013,C000013,678-5331773-38,TR54532864050146493828131924,Vadesiz,TRY,TR-006,Antalya Merkez Subesi,Antalya,AKBKTRIS,2022-03-07,ACTIVE,407109,11170399,560363,198950
A000014,C000014,671-7737548-30,TR41588829522160280608538621,Vadeli,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TRHBTR2A,2023-08-03,ACTIVE,694887,13944039,898923,564901
A000015,C000015,182-1750328-12,TR14704871132918092006761291,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,FNNBTRIS,2023-03-17,ACTIVE,90600,2187967,100841,98475
A000016,C000016,700-3033600-75,TR71372280229240850011040264,Doviz,TRY,TR-004,Izmir Konak Subesi,Izmir,AKBKTRIS,2024-07-14,ACTIVE,324214,5275640,603503,278037
A000017,C000017,667-7568642-21,TR21278264275351680002916202,Vadesiz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,ISBKTRIS,2020-03-24,ACTIVE,287614,3714365,569505,514537
A000018,C000018,836-1432715-91,TR44753530949756198807225281,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,TGBATRIS,2022-12-04,ACTIVE,206897,7420696,374715,256397
A000019,C000019,681-7544296-88,TR88559752284865176410008860,Vadesiz,TRY,TR-004,Izmir Konak Subesi,Izmir,TVBATR2A,2018-04-11,ACTIVE,102583,1210895,145812,69653
A000020,C000020,179-9581186-48,TR64560257791151154016529912,Doviz,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TGBATRIS,2024-11-08,ACTIVE,112154,3211292,118235,121343
A000021,C000021,462-7037518-94,TR58398480491345834361575222,Vadeli,TRY,TR-003,Ankara Cankaya Subesi,Ankara,TCZBTR2A,2023-03-02,ACTIVE,185977,5981406,573250,434324
A000022,C000022,989-4718891-35,TR56178822484801281329435358,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,ISBKTRIS,2019-01-11,ACTIVE,127163,-68178,144004,147162
A000023,C000023,160-5869533-36,TR53848366869950933501718746,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,TVBATR2A,2018-03-22,ACTIVE,372451,10317993,175809,89472
A000024,C000024,810-4502669-26,TR54268092491668083873285134,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,AKBKTRIS,2021-10-05,ACTIVE,66957,3545559,318853,255783
A000025,C000025,352-5633380-23,TR50495273945421511728137407,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,AKBKTRIS,2018-02-16,ACTIVE,551009,852830,542934,152724
A000026,C000026,290-8226195-20,TR65621249024785646789699439,Vadeli,USD,TR-005,Bursa Nilufer Subesi,Bursa,YAPITRIS,2019-11-16,ACTIVE,337589,49852654,299049,139173
A000027,C000027,959-3987067-13,TR63845148185297035410007381,Vadesiz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,ISBKTRIS,2021-07-23,ACTIVE,106833,8420853,152942,258695
A000028,C000028,889-2180765-11,TR44860208108038956622425110,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,AKBKTRIS,2019-11-13,DORMANT,217554,10271677,335860,302210
A000029,C000029,642-1637725-58,TR94691107483976098122277846,Vadesiz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2024-11-20,DORMANT,33682,2191140,72192,12657
A000030,C000030,843-9285470-23,TR76834395243777564521656494,Vadeli,TRY,TR-006,Antalya Merkez Subesi,Antalya,TVBATR2A,2020-10-05,ACTIVE,418055,1304699,850643,530649
A000031,C000031,162-3569710-98,TR69573410651859881337856995,Vadeli,EUR,TR-001,Istanbul Levent Subesi,Istanbul,AKBKTRIS,2019-11-18,ACTIVE,42997,25525707,86504,154765
A000032,C000032,198-8817744-80,TR63063279660955203067996789,Vadeli,TRY,TR-005,Bursa Nilufer Subesi,Bursa,ISBKTRIS,2019-08-14,ACTIVE,416853,919439,413246,691865
A000033,C000033,569-6908108-29,TR38933031736128327548188162,Doviz,TRY,TR-001,Istanbul Levent Subesi,Istanbul,ISBKTRIS,2022-03-02,ACTIVE,69433,7387956,266542,528140
A000034,C000034,627-9044199-43,TR64904023459354700837932418,Vadeli,TRY,TR-004,Izmir Konak Subesi,Izmir,TGBATRIS,2018-05-11,ACTIVE,111951,1857968,230959,93742
A000035,C000035,305-5020781-90,TR59206937162607364963110515,Vadesiz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,TRHBTR2A,2020-10-05,ACTIVE,326007,13719404,390315,372196
A000036,C000036,400-9387993-96,TR16761772673120053257734617,Doviz,TRY,TR-002,Istanbul Kadikoy Subesi,Istanbul,FNNBTRIS,2021-03-03,ACTIVE,92384,3548004,107916,54734
