customer_id,full_name,national_id_hash,passport_id_hash,date_of_birth,birth_country,birth_city,nationality,residency_country,residency_city,phone_number,email,occupation,employer_name,onboarding_date,account_open_date,account_status,kyc_level,customer_type,monthly_income_try,current_debt_try,pep_flag,sanctions_flag,watchlist_flag
C000001,Mert Aslan,74455f3c8a2f95052982,a56d63fd7edcce4d3eaf,1958-06-23,TR,Kayseri,TR,TR,Izmir,+905902612350,mert.aslan.484@mail.com,Teacher,Atlas Saglik AS,2021-07-14,2021-08-12,ACTIVE,STANDARD,INDIVIDUAL,42002,200108,0,0,0
C000002,Omer Yildiz,f6203d24b5c064b0d16e,6235595bb06beafb973d,1958-02-27,TR,Kayseri,TR,TR,Bursa,+905072019894,omer.yildiz.575@mail.com,Doctor,Nova Lojistik AS,2024-10-18,2024-11-02,ACTIVE,ENHANCED,INDIVIDUAL,187220,723101,0,0,0
C000003,Mehmet Eren,c7a455a0815c28a5fc14,bba8da47f08c49159f8f,1978-06-13,TR,Antalya,TR,TR,Izmir,+905912006556,mehmet.eren.462@mail.com,Accountant,Liman Ticaret Grup,2020-10-24,2020-10-31,ACTIVE,STANDARD,INDIVIDUAL,52283,341641,0,0,0
C000004,Elif Kilic,d46d3654253bac6f062a,3dfd9720cf8e339a9439,1981-07-03,TR,Adana,TR,TR,Bursa,+905236006936,elif.kilic.737@mail.com,Teacher,Mavi Teknoloji Ltd,2018-01-09,2018-02-15,ACTIVE,STANDARD,INDIVIDUAL,42364,216017,0,0,0
C000005,Zeynep Karaca,c221f1e7fbdaa2f622cf,cbf5bfac198a6ce9141c,1981-11-25,TR,Antalya,TR,TR,Trabzon,+905511122129,zeynep.karaca.774@mail.com,Nurse,Liman Danismanlik Grup,2023-07-07,2023-08-03,ACTIVE,STANDARD,INDIVIDUAL,51652,129951,0,0,0
C000006,Omar Brown,ebeaeebf4b961c3bae52,811dd67a6e1bcbd242d9,1977-01-14,RU,Moscow,RU,RU,Moscow,+436062593814,omar.brown.408@mail.com,Nurse,Nova Saglik Holding,2019-12-18,2020-02-04,ACTIVE,BASIC,INDIVIDUAL,53713,269756,0,0,0
C000007,Omer Aksoy,88668d845d8cb5c7e564,e521f26c5d1c1780389e,1992-01-26,TR,Istanbul,TR,TR,Trabzon,+905306263437,omer.aksoy.958@mail.com,Software Engineer,Liman Teknoloji AS,2024-02-02,2024-03-13,ACTIVE,STANDARD,INDIVIDUAL,60400,221395,0,0,0
C000008,Mert Bulut,f9abfb8d17d92e45bd12,adff1cc58b507a81fbe7,1972-08-16,TR,Konya,TR,TR,Adana,+905376714976,mert.bulut.571@mail.com,Accountant,Anadolu Insaat Holding,2020-12-19,2020-12-20,DORMANT,STANDARD,INDIVIDUAL,88892,143499,0,0,0
C000009,Buse Sahin,85163bead4e281ac9952,42a00208c05d9c44fc09,1986-07-08,TR,Konya,TR,TR,Adana,+905984332495,buse.sahin.230@mail.com,Student,Mavi Ticaret AS,2019-07-15,2019-09-03,ACTIVE,ENHANCED,INDIVIDUAL,7793,39415,0,0,0
C000010,Ceren Polat,b7fe06444be618808985,d62e61620f24ecc02881,1999-11-08,TR,Konya,TR,TR,Kayseri,+905907093841,ceren.polat.532@mail.com,Nurse,Atlas Teknoloji Ltd,2024-02-13,2024-03-24,ACTIVE,BASIC,INDIVIDUAL,69789,146600,0,0,0
C000011,Fatma Kaya,a36b355937e4bf99a9a6,44c001b7961b29f2ab26,1997-10-06,TR,Trabzon,TR,TR,Kayseri,+905267102184,fatma.kaya.362@mail.com,Accountant,Anadolu Insaat AS,2022-03-22,2022-04-14,ACTIVE,ENHANCED,INDIVIDUAL,64507,131177,0,0,0
C000012,Emir Ozdemir,0c175ff69c10f495b469,967371227ebf620dfdbc,1976-02-02,TR,Kayseri,TR,TR,Gaziantep,+905846337651,emir.ozdemir.513@mail.com,Freelancer,Zen Yazilim Ltd,2024-09-07,2024-09-14,ACTIVE,STANDARD,INDIVIDUAL,37995,229810,0,0,0
C000013,Ahmet Bulut,30bdb628a91cf7e2ea36,1c22ceed5ff426edb291,1974-01-18,TR,Istanbul,TR,TR,Konya,+905774384582,ahmet.bulut.138@mail.com,Software Engineer,Anadolu Enerji Ltd,2022-03-06,2022-03-07,ACTIVE,STANDARD,INDIVIDUAL,112320,198950,0,0,0
C000014,Ceren Polat,26c94983ba56c6ef1416,a3fa12a443b7c57d1737,1965-07-23,TR,Konya,TR,TR,Trabzon,+905028621488,ceren.polat.723@mail.com,Small Business Owner,Global Enerji AS,2023-08-03,2023-08-03,ACTIVE,STANDARD,INDIVIDUAL,171824,564901,0,0,0
C000015,Mark Brown,1e56b9bea5a967bdc8d5,4bf3af94b661b0495142,1999-08-08,RU,Moscow,AZ,AZ,Baku,+994723397889,mark.brown.462@mail.com,Retired,Global Yazilim Holding,2023-03-17,2023-03-17,ACTIVE,BASIC,INDIVIDUAL,27965,98475,0,0,0
C000016,Deniz Sahin,02225db576c535cfa956,62c2b5ff6596ef8d3ec5,2001-12-19,TR,Gaziantep,TR,TR,Izmir,+905249136609,deniz.sahin.616@mail.com,Small Business Owner,Mavi Danismanlik Grup,2024-06-25,2024-07-14,ACTIVE,ENHANCED,INDIVIDUAL,77574,278037,0,0,0
C000017,Kerem Polat,1810a617475b8f69f8b0,3b0b1020a31810a050c1,1971-02-23,TR,Bursa,TR,TR,Kayseri,+905963630123,kerem.polat.635@mail.com,Nurse,Global Teknoloji Ltd,2020-02-13,2020-03-24,ACTIVE,STANDARD,INDIVIDUAL,73737,514537,0,0,0
C000018,Ahmet Aksoy,27b2503b1fc063f16f5a,56834c6a72ff341b7c41,1963-06-26,TR,Adana,TR,TR,Trabzon,+905616623147,ahmet.aksoy.436@mail.com,Sales Specialist,Zen Ticaret Holding,2022-10-16,2022-12-04,ACTIVE,ENHANCED,INDIVIDUAL,55341,256397,0,0,0
C000019,Ahmet Karaca,0b0d571cb157762e558a,249dfa45153fa6c1ac1a,1979-03-16,TR,Kayseri,TR,TR,Ankara,+905532026998,ahmet.karaca.761@mail.com,Student,Anadolu Teknoloji Holding,2018-02-19,2018-04-11,ACTIVE,STANDARD,INDIVIDUAL,23228,69653,0,0,0
C000020,Mark Aliyev,c2f0f0e9f5402030d3f0,d7301dda9b1c07db188a,1988-12-09,NL,Amsterdam,NL,NL,Amsterdam,+768494157113,mark.aliyev.116@mail.com,Retired,Mavi Ticaret Ltd,2024-10-03,2024-11-08,ACTIVE,ENHANCED,INDIVIDUAL,34647,121343,0,0,0
C000021,Fatma Polat,b10d405573d72e21fb7f,f261135ce988d83e772f,1991-03-20,TR,Trabzon,TR,TR,Antalya,+905481503286,fatma.polat.485@mail.com,Doctor,Anadolu Enerji Grup,2023-02-16,2023-03-02,ACTIVE,BASIC,INDIVIDUAL,109757,434324,0,0,0
C000022,Ceren Ucar,245b40aac535dec54c34,cfe74c7770ce7ad96d61,1971-06-25,TR,Istanbul,TR,TR,Trabzon,+905589321367,ceren.ucar.679@mail.com,Sales Specialist,Global Yazilim AS,2018-11-15,2019-01-11,ACTIVE,ENHANCED,INDIVIDUAL,36148,147162,0,0,0
C000023,Ivan Hussein,81d0f3bd6780637b9729,07e1d51579ab350cba7d,1967-08-07,DE,Munich,GB,GB,Manchester,+447031679522,ivan.hussein.80@mail.com,Sales Specialist,Zen Saglik Ltd,2018-02-09,2018-03-22,ACTIVE,STANDARD,INDIVIDUAL,74737,89472,0,0,0
C000024,Zeynep Sahin,02213d659a15ae382e06,3165ee2ad721cc50d35d,2003-09-28,TR,Kayseri,TR,TR,Konya,+905188982113,zeynep.sahin.676@mail.com,Sales Specialist,Anadolu Insaat Holding,2021-09-04,2021-10-05,ACTIVE,BASIC,INDIVIDUAL,65156,255783,0,0,0
C000025,Asli Dogan,913ea41d7231b5cbfe08,1fa8dc0f69616fbb9917,1979-04-09,TR,Konya,TR,TR,Adana,+905753921170,asli.dogan.584@mail.com,Small Business Owner,Atlas Yazilim Grup,2018-01-09,2018-02-16,ACTIVE,BASIC,INDIVIDUAL,111006,152724,0,0,0
C000026,Veli Celik,c3a5e5c07a9e4ba95248,b33e3e83c9968c1e0762,1972-04-20,TR,Gaziantep,TR,TR,Istanbul,+905707897942,veli.celik.336@mail.com,Accountant,Atlas Teknoloji Grup,2019-09-20,2019-11-16,ACTIVE,BASIC,INDIVIDUAL,70483,139173,0,0,0
C000027,Julia Anderson,0a3cc59fc9b13fc35c0c,6de44495f578c8392e52,1994-03-21,QA,Doha,DE,DE,Berlin,+491688178615,julia.anderson.584@mail.com,Accountant,Zen Enerji AS,2021-07-20,2021-07-23,ACTIVE,STANDARD,INDIVIDUAL,63494,258695,0,0,0
C000028,Kerem Yilmaz,a994323b7694714f6968,39891c5646c7a3e2f4d3,1962-03-08,TR,Adana,TR,TR,Istanbul,+905863938923,kerem.yilmaz.863@mail.com,Freelancer,Liman Yazilim Holding,2019-09-25,2019-11-13,DORMANT,STANDARD,INDIVIDUAL,87091,302210,0,0,0
C000029,Kerem Karaca,2f96d6718400d8b93a04,bb8a96dc4b7901b4a143,2004-12-15,TR,Ankara,TR,TR,Konya,+905986006626,kerem.karaca.647@mail.com,Student,Zen Ticaret Ltd,2024-11-10,2024-11-20,DORMANT,STANDARD,INDIVIDUAL,15798,12657,0,0,0
C000030,Derya Ucar,771b20a5d3c3200d1e77,0ce4a3cd85945e49008c,2005-08-02,TR,Adana,TR,TR,Ankara,+905148729746,derya.ucar.162@mail.com,Doctor,Atlas Teknoloji Holding,2020-09-26,2020-10-05,ACTIVE,BASIC,INDIVIDUAL,157254,530649,0,0,0
C000031,Yusuf Polat,859f21fdf22522be2ed9,e15741deb2419bba3886,1978-04-04,TR,Adana,TR,TR,Trabzon,+905245557577,yusuf.polat.939@mail.com,Sales Specialist,Anadolu Ticaret AS,2019-09-28,2019-11-18,ACTIVE,ENHANCED,INDIVIDUAL,29209,154765,0,0,0
C000032,Zeynep Eren,03f67fa1e9e494726f36,62fe51cd1489f4f54375,1987-09-03,TR,Trabzon,TR,TR,Adana,+905724609400,zeynep.eren.518@mail.com,Software Engineer,Atlas Danismanlik Grup,2019-06-28,2019-08-14,ACTIVE,ENHANCED,INDIVIDUAL,109643,691865,0,0,0
C000033,Lucas Silva,687f460d8b6a14d594a7,10b1b92feeba7a2c133c,1963-10-10,QA,Doha,DE,DE,Munich,+491765880212,lucas.silva.56@mail.com,Software Engineer,Nova Ticaret AS,2022-01-08,2022-03-02,ACTIVE,ENHANCED,INDIVIDUAL,110984,528140,0,0,0
C000034,Ece Karaca,4da77b90884d5c562861,eec09da0a1a33b43b7bb,1994-07-01,TR,Adana,TR,TR,Trabzon,+905386090996,ece.karaca.362@mail.com,Sales Specialist,Atlas Ticaret Ltd,2018-03-15,2018-05-11,ACTIVE,STANDARD,INDIVIDUAL,30265,93742,0,0,0
C000035,Deniz Yilmaz,6f2de247934e7c3346bc,8a838ada1313c5e5d9ee,1985-11-03,TR,Adana,TR,TR,Gaziantep,+905705339582,deniz.yilmaz.783@mail.com,Doctor,Anadolu Lojistik Holding,2020-08-27,2020-10-05,ACTIVE,STANDARD,INDIVIDUAL,124914,372196,0,0,0
C000036,Zeynep Yilmaz,b5ac2f8b9b02f3464d07,af92625d8ec61d6088cf,1997-06-05,TR,Antalya,TR,TR,Izmir,+905047924368,zeynep.yilmaz.357@mail.com,Retired,Global Danismanlik Grup,2021-02-20,2021-03-03,ACTIVE,BASIC,INDIVIDUAL,23141,54734,0,0,0
C000037,Asli Ucar,740b5b85ed52191737c4,217b87e1b6aaf91896cc,2004-08-02,TR,Konya,TR,TR,Trabzon,+905607670323,asli.ucar.232@mail.com,Software Engineer,Liman Insaat Grup,2019-03-25,2019-04-25,DORMANT,BASIC,INDIVIDUAL,64115,105453,0,0,0
C000038,Yusuf Polat,eecf904038d444490cb8,ec2494135ef7f622cc77,1968-05-25,TR,Trabzon,TR,TR,Ankara,+905743343840,yusuf.polat.918@mail.com,Student,Atlas Saglik Grup,2024-08-27,2024-09-22,ACTIVE,BASIC,INDIVIDUAL,10602,47387,0,0,0
C000039,Mehmet Aslan,613a7d3b533e115a2ea0,fc51ee66f650fcf7be44,1989-09-03,TR,Antalya,TR,TR,Trabzon,+905486174707,mehmet.aslan.720@mail.com,Small Business Owner,Liman Teknoloji AS,2022-05-16,2022-06-18,ACTIVE,ENHANCED,INDIVIDUAL,142440,416886,0,0,0
C000040,Yusuf Bulut,9dcaa2dfc51b36b5e64f,95fd3446ceec563ca5dc,1993-08-04,TR,Gaziantep,TR,TR,Konya,+905346342313,yusuf.bulut.514@mail.com,Student,Atlas Insaat Holding,2020-02-03,2020-03-14,ACTIVE,STANDARD,INDIVIDUAL,12875,14509,0,0,0
C000041,Ayse Yildiz,5459a52a7f9498be9a8a,4a8fb88bb551866f986b,1981-05-08,TR,Adana,TR,TR,Izmir,+905014618083,ayse.yildiz.565@mail.com,Sales Specialist,Zen Saglik AS,2024-01-18,2024-02-24,ACTIVE,ENHANCED,INDIVIDUAL,66088,85032,0,0,0
